address,account_type,raw_bfr_wei,Raw BFR,raw_esbfr_wei,Raw esBFR,fsblp_wei,fsBLP Reward,vester1_wei,Vester 1,vester2_wei,Vester 2,staking_wei,Staking,camelot_wei,Camelot,total_wei,Total
0x00237b6885cbFf9f5EC1f9377E4e10c2fB0C3Aab,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00275794B33c24822246122A58d8e51E6EaF029a,eoa,0,0,0,0,0,0,0,0,0,0,4859355956873021242,4.859355956873021242,0,0,4859355956873021242,4.859355956873021242
0x002841301d1AB971D8acB3509Aa2891e3ef9D7E1,eoa,0,0,0,0,0,0,0,0,0,0,14646522292916354181,14.646522292916354181,0,0,14646522292916354181,14.646522292916354181
0x002A4Df76d1661a5618fB03DB64AcACEDc91b194,eoa,290190233111157843873,290.190233111157843873,0,0,0,0,0,0,0,0,0,0,0,0,290190233111157843873,290.190233111157843873
0x002B5dfB3C71E1dC97A2e5A0A7f69F3e7b83F269,eoa,468006885819,0.000000468006885819,0,0,1233461807111384555,1.233461807111384555,0,0,0,0,14747168498815052042,14.747168498815052042,0,0,15980630773933322416,15.980630773933322416
0x002CACf613c6Ea737AF432092ccAb1dF450c0Aa7,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x002D931eC1090474018b8711d904b2fFCF408DDf,eoa,0,0,21125742302586379272,21.125742302586379272,0,0,0,0,0,0,0,0,0,0,21125742302586379272,21.125742302586379272
0x002DD9F9bf747DA3099073E21558d8Bda9C65f71,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0030A091c00503ECDa59924eb05aB8417a0f257E,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00336cD9F823dd8B5C5741638E5038FD561F01B9,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0037044a0a231878F9646C137C0f527b7Bf899ae,eoa,49021531256,0.000000049021531256,0,0,0,0,0,0,0,0,86364295330429339629,86.364295330429339629,0,0,86364295379450870885,86.364295379450870885
0x0039a63910063aA2E4f39261A46589a77767e580,eoa,0,0,0,0,0,0,0,0,0,0,17769499653686,0.000017769499653686,0,0,17769499653686,0.000017769499653686
0x003B18357460e789e711849749A793c430d14f97,contract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00406F6395B83Bb984711109B419A4bEC3098633,eoa,0,0,0,0,0,0,0,0,0,0,65427334615557178792,65.427334615557178792,0,0,65427334615557178792,65.427334615557178792
