Column,Total
Raw BFR,28650222.5654716007
Raw esBFR,778855.990847550100
fsBLP Reward,179639.089926720684
Vester 1,151143.190131209238
Vester 2,3485.92545200000040
Staking,6377775.87211795431
Camelot,0
OTC,203979.522353369946
