queriedAccount,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739299078605,2025-02-11T18:37:58.605Z,0xe104e2af49e70ac36f13041d9420be020124008b5f2c1e3ca95d31af62a6c3b7,spotTransfer,USDC,1413.222964,1413.222964,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,1739299078605,2025-02-11T18:37:58.605Z,0xe104e2af49e70ac36f13041d9420be020124008b5f2c1e3ca95d31af62a6c3b7,spotTransfer,USDC,1413.222964,1413.222964,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739966483790,2025-02-19T12:01:23.790Z,0x6d202a7a560259bb6bcf041e0ea41101e40081c2a6d13563342263220e6fef4a,spotTransfer,USDC,0.1,0.1,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,1739966483790,2025-02-19T12:01:23.790Z,0x6d202a7a560259bb6bcf041e0ea41101e40081c2a6d13563342263220e6fef4a,spotTransfer,USDC,0.1,0.1,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
