queriedAccount,direction,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739263615052,2025-02-11T08:46:55.052Z,0x9526ec1ff06bf8a59c3c041d8d957501a000d34b455cabf9ab77718407513b13,spotTransfer,USDC,2.0,2.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,1.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739264533265,2025-02-11T09:02:13.265Z,0xcca452b5fa2a787d493a041d8dbfc501b00097144f54c99bd23352c4bbbc19ff,spotTransfer,USDC,2.0,2.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739264711275,2025-02-11T09:05:11.275Z,0x6a191236c1b44491119d041d8dc81c012b0014f860f1a953b7753cfc0eadd326,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739276585870,2025-02-11T12:23:05.870Z,0xfcd95af80103e287ac41041d8ff000020163008754960ccd2b54302b4195b8ee,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739277212942,2025-02-11T12:33:32.942Z,0xb1af24594e9d75329749041d900cc0019500853817518e08f9ed4138331ab9be,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739281530776,2025-02-11T13:45:30.776Z,0x6a70f9bd7ba929b72e1f041d90d81802014300a65b0bd25327978ea86d62c7c4,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739282146038,2025-02-11T13:55:46.038Z,0x251bc672b6f874891798041d90f5cf0202c1000d790b241c74ef2341af9aac1c,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739288916912,2025-02-11T15:48:36.912Z,0xfb28aee02b0740e2cec8041d9239b2017400ad06c07a2e7f7c91002aa72ffc10,spotTransfer,USDC,0.5,0.5,0x52be86e343dbb35077bfd17a41c146ffa8156688,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739294224591,2025-02-11T17:17:04.591Z,0x6dd81f65385a7fed2154041d9339230203c600712300be86a573693f33aaf5dd,spotTransfer,USDC,1000.0,1000.0,0xb0824a286c4eff207dac0ad5151cd93739892318,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739294688394,2025-02-11T17:24:48.394Z,0x56924bc5331c21eddd4a041d934f7b018400a2027cb2aafae6d4d797d3a8a8e1,spotTransfer,USDC,0.022964,0.022964,0x25bf579a1797ea8b0c637dc71a85a6aeadfdc2b9,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739294991772,2025-02-11T17:29:51.772Z,0x00509978ff56ee535863041d935d530196006b99ab07ecb4463bb55cedf30511,spotTransfer,USDC,94.0,94.0,0x25bf579a1797ea8b0c637dc71a85a6aeadfdc2b9,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739295333169,2025-02-11T17:35:33.169Z,0x1d7ba2beade528f59601041d936dfe01ce0069b4c814503807c7a1110c691b93,spotTransfer,USDC,1.0,1.0,0x6f4077bfdc287be5431e93aa851bb1e2f58836a0,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739295408344,2025-02-11T17:36:48.344Z,0x64f6ce2b3ab63ff64460041d9371c102014600b0de995e663e7913fe097c71af,spotTransfer,USDC,78.77,78.77,0x25bf579a1797ea8b0c637dc71a85a6aeadfdc2b9,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739295464061,2025-02-11T17:37:44.061Z,0x56bec2b71d073db437fc041d93745902016600b2a3936d04cfc172b562ca776b,spotTransfer,USDC,21.93,21.93,0xe557094c260ad6a41a5a6ccabd024754e36092df,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,1.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739295551338,2025-02-11T17:39:11.338Z,0xa1c39227c9aa831b15cf041d93789e015c00ed9f186308cc2f445a55c6d49d8d,spotTransfer,USDC,201.0,201.0,0x25bf579a1797ea8b0c637dc71a85a6aeadfdc2b9,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739295625705,2025-02-11T17:40:25.705Z,0x49f485468278687b6a18041d937c04014800e6d0b3d4f0a3916294ac62402822,spotTransfer,USDC,2.0,2.0,0x6f4077bfdc287be5431e93aa851bb1e2f58836a0,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1739296235090,2025-02-11T17:50:35.090Z,0x07310d72a902c687d8b0041d93990a0202020017a3af88e0b621971a869e31fb,spotTransfer,USDC,5.0,5.0,0xe557094c260ad6a41a5a6ccabd024754e36092df,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,out,1739299078605,2025-02-11T18:37:58.605Z,0xe104e2af49e70ac36f13041d9420be020124008b5f2c1e3ca95d31af62a6c3b7,spotTransfer,USDC,1413.222964,1413.222964,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,deposit,1739966391663,2025-02-19T11:59:51.663Z,0xeefd47536f12302f63a0d828a965f4056301ecaa2ef0b7a7ca91e77860e3070a,deposit,USDC,5.0,5.0,,,,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,out,1739966483790,2025-02-19T12:01:23.790Z,0x6d202a7a560259bb6bcf041e0ea41101e40081c2a6d13563342263220e6fef4a,spotTransfer,USDC,0.1,0.1,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,deposit,1751613853620,2025-07-04T07:24:13.620Z,0xa4c2aa1999ccd5b65db78d77c66e210fd41d6760d1d327517908a310146ddb65,deposit,USDC,11.0,11.0,,,,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,out,1754223994083,2025-08-03T12:26:34.083Z,0x7c516b26cc4423b61edf0428cad32901af00d7871d5cdb8f9fae814d99a27d7d,internalTransfer,USDC,10.09,10.09,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xc577e4259e743b1b57a5fad22be473e6ee605438,1.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,in,1754229464511,2025-08-03T13:57:44.511Z,0x408180a9537e3f1391ee0428cbe6fe0109006bf79c29e68604066e81eeeab1ac,internalTransfer,USDC,8.63,8.63,0xc577e4259e743b1b57a5fad22be473e6ee605438,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0.0,,,
0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,out,1754382843278,2025-08-05T08:34:03.278Z,0x4b02679dc22abd8dacd80428ea01b6010d0003e3df5072bd026fc15370d243f3,internalTransfer,USDC,7.41,7.41,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xc577e4259e743b1b57a5fad22be473e6ee605438,0.0,,,
